,Country Name,Country Code,Year,Life Expectancy
469,United Arab Emirates,ARE,2000,76.347
470,United Kingdom,GBR,2000,77.74146341
471,United States,USA,2000,76.63658537
472,Uruguay,URY,2000,74.693
473,Uzbekistan,UZB,2000,65.456
474,Vanuatu,VUT,2000,68.586
475,"Venezuela, RB",VEN,2000,72.388
476,Viet Nam,VNM,2000,72.746
477,Virgin Islands (U.S.),VIR,2000,76.6195122
478,West Bank and Gaza,PSE,2000,70.298
479,"Yemen, Rep.",YEM,2000,62.761
480,Zambia,ZMB,2000,46.577
481,Zimbabwe,ZWE,2000,46.034
482,Africa Eastern and Southern,AFE,2000,52.55734186
483,Africa Western and Central,AFW,2000,50.29260517
484,Arab World,ARB,2000,66.89069989
485,Caribbean small states,CSS,2000,68.39767583
486,Central Europe and the Baltics,CEB,2000,72.71972472
487,Early-demographic dividend,EAR,2000,64.21960983
488,East Asia & Pacific,EAS,2000,71.70283232
489,East Asia & Pacific (excluding high income),EAP,2000,70.73570716
490,East Asia & Pacific (IDA & IBRD countries),TEA,2000,70.86508266
491,Euro area,EMU,2000,78.0398702
492,Europe & Central Asia,ECS,2000,73.11371239
493,Europe & Central Asia (excluding high income),ECA,2000,68.85705319
494,Europe & Central Asia (IDA & IBRD countries),TEC,2000,68.36657975
495,European Union,EUU,2000,77.07824508
496,Heavily indebted poor countries (HIPC),HPC,2000,53.00160537
497,High income,HIC,2000,76.04175687
498,IBRD only,IBD,2000,68.28696493
499,IDA & IBRD total,IBT,2000,65.65687645
500,IDA blend,IDB,2000,55.5992723
501,IDA only,IDX,2000,56.84320273
502,IDA total,IDA,2000,56.41049893
503,Late-demographic dividend,LTE,2000,71.28530769
504,Latin America & Caribbean,LCN,2000,70.8691415
505,Latin America & Caribbean (excluding high income),LAC,2000,70.54989863
506,Latin America & the Caribbean (IDA & IBRD countries),TLA,2000,70.71841023
507,Least developed countries: UN classification,LDC,2000,55.40131099
508,Low & middle income,LMY,2000,65.50264691
509,Low income,LIC,2000,53.56582668
510,Lower middle income,LMC,2000,61.06760398
511,"Middle East, North Africa, Afghanistan & Pakistan",MEA,2000,66.22251382
512,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2000,65.63684715
513,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2000,65.6072409
514,Middle income,MIC,2000,66.51902939
515,North America,NAC,2000,76.88503324
516,Not classified,INX,2000,..
517,OECD members,OED,2000,76.8195166
518,Other small states,OSS,2000,66.43853654
519,Pacific island small states,PSS,2000,66.89148328
520,Post-demographic dividend,PST,2000,77.35137565
521,Pre-demographic dividend,PRE,2000,51.74984179
522,Small states,SST,2000,66.98810184
523,South Asia,SAS,2000,62.80363052
524,South Asia (IDA & IBRD),TSA,2000,62.80363052
525,Sub-Saharan Africa,SSF,2000,51.64378035
526,Sub-Saharan Africa (excluding high income),SSA,2000,51.64126136
527,Sub-Saharan Africa (IDA & IBRD countries),TSS,2000,51.64378035
528,Upper middle income,UMC,2000,70.74535814
529,World,WLD,2000,67.65047787
530,Afghanistan,AFG,2016,62.646
531,Albania,ALB,2016,78.643
532,Algeria,DZA,2016,75.31
533,American Samoa,ASM,2016,72.64
534,Andorra,AND,2016,84.489
535,Angola,AGO,2016,61.619
536,Antigua and Barbuda,ATG,2016,76.968
537,Argentina,ARG,2016,76.105
538,Armenia,ARM,2016,74.86829268
539,Aruba,ABW,2016,75.54
540,Australia,AUS,2016,82.44878049
541,Austria,AUT,2016,81.64146341
542,Azerbaijan,AZE,2016,72.568
543,"Bahamas, The",BHS,2016,74.042
544,Bahrain,BHR,2016,80.407
545,Bangladesh,BGD,2016,71.075
546,Barbados,BRB,2016,76.168
547,Belarus,BLR,2016,73.82682927
548,Belgium,BEL,2016,81.43902439
549,Belize,BLZ,2016,71.843
550,Benin,BEN,2016,59.283
551,Bermuda,BMU,2016,80.476
552,Bhutan,BTN,2016,71.119
553,Bolivia,BOL,2016,67.392
554,Bosnia and Herzegovina,BIH,2016,77.124
555,Botswana,BWA,2016,64.32
556,Brazil,BRA,2016,75.081
557,British Virgin Islands,VGB,2016,76.624
558,Brunei Darussalam,BRN,2016,74.905
559,Bulgaria,BGR,2016,74.81219512
560,Burkina Faso,BFA,2016,59.173
561,Burundi,BDI,2016,60.789
562,Cabo Verde,CPV,2016,74.35
563,Cambodia,KHM,2016,69.635
564,Cameroon,CMR,2016,60.293
565,Canada,CAN,2016,81.94
566,Cayman Islands,CYM,2016,78.367
567,Central African Republic,CAF,2016,50.999
568,Chad,TCD,2016,51.603
569,Channel Islands,CHI,2016,81.2
570,Chile,CHL,2016,80.295
571,China,CHN,2016,77.214
572,Colombia,COL,2016,76.228
573,Comoros,COM,2016,64.792
574,"Congo, Dem. Rep.",COD,2016,59.081
575,"Congo, Rep.",COG,2016,63.911
576,Costa Rica,CRI,2016,79.988
577,Cote d'Ivoire,CIV,2016,58.814
578,Croatia,HRV,2016,77.92195122
579,Cuba,CUB,2016,77.571
580,Curacao,CUW,2016,76.322
581,Cyprus,CYP,2016,81.534
582,Czechia,CZE,2016,79.02682927
583,Denmark,DNK,2016,80.85365854
584,Djibouti,DJI,2016,63.335
585,Dominica,DMA,2016,71.189
586,Dominican Republic,DOM,2016,72.889
587,Ecuador,ECU,2016,76.094
588,"Egypt, Arab Rep.",EGY,2016,70.437
589,El Salvador,SLV,2016,70.908
590,Equatorial Guinea,GNQ,2016,61.081
591,Eritrea,ERI,2016,66.242
592,Estonia,EST,2016,77.64146341
593,Eswatini,SWZ,2016,56.228
594,Ethiopia,ETH,2016,64.162
595,Faroe Islands,FRO,2016,81.9621122
596,Fiji,FJI,2016,66.657
597,Finland,FIN,2016,81.42926829
598,France,FRA,2016,82.57317073
599,French Polynesia,PYF,2016,82.555
600,Gabon,GAB,2016,66.583
601,"Gambia, The",GMB,2016,63.386
602,Georgia,GEO,2016,73.136
603,Germany,DEU,2016,80.9902439
604,Ghana,GHA,2016,63.522
605,Gibraltar,GIB,2016,82.741
606,Greece,GRC,2016,81.38780488
607,Greenland,GRL,2016,71.19902439
608,Grenada,GRD,2016,75.01
609,Guam,GUM,2016,76.449
610,Guatemala,GTM,2016,71.215
611,Guinea,GIN,2016,58.49
612,Guinea-Bissau,GNB,2016,60.619
613,Guyana,GUY,2016,68.069
614,Haiti,HTI,2016,63.325
615,Honduras,HND,2016,71.615
616,"Hong Kong SAR, China",HKG,2016,84.21146341
617,Hungary,HUN,2016,76.06341463
618,Iceland,ISL,2016,82.20487805
619,India,IND,2016,69.709
